Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.default.parallelism,spark.driver.memory,spark.executor.memory
ScalaSparkWordcount,2023-04-05,05:56:44,9854770076,91.753,107405426,53702713,16,16g,16g
ScalaSparkTerasort,2023-04-05,05:58:16,3200000000,87.591,36533433,18266716,16,16g,16g
ScalaSparkKmeans,2023-04-05,05:59:46,4016371652,85.415,47021853,23510926,16,16g,16g
ScalaSparkPagerank,2023-04-05,06:01:22,259947887,90.408,2875275,1437637,16,16g,16g
ScalaSparkNWeight,2023-04-05,06:03:05,163190010,98.339,1659463,829731,16,16g,16g
ScalaSparkWordcount,2023-04-05,06:04:19,9854770076,69.458,141880993,70940496,16,16g,16g
ScalaSparkTerasort,2023-04-05,06:05:45,3200000000,80.931,39539854,19769927,16,16g,16g
ScalaSparkKmeans,2023-04-05,06:07:04,4016371652,74.534,53886436,26943218,16,16g,16g
ScalaSparkPagerank,2023-04-05,06:08:43,259947887,93.867,2769321,1384660,16,16g,16g
ScalaSparkNWeight,2023-04-05,06:10:22,163190010,94.505,1726787,863393,16,16g,16g
ScalaSparkWordcount,2023-04-05,06:11:37,9854770076,70.166,140449364,70224682,16,16g,16g
ScalaSparkTerasort,2023-04-05,06:12:52,3200000000,70.151,45615885,22807942,16,16g,16g
ScalaSparkKmeans,2023-04-05,06:14:17,4016371652,80.078,50155743,25077871,16,16g,16g
ScalaSparkPagerank,2023-04-05,06:15:56,259947887,94.449,2752256,1376128,16,16g,16g
ScalaSparkNWeight,2023-04-05,06:17:36,163190010,95.754,1704263,852131,16,16g,16g
ScalaSparkWordcount,2023-04-05,06:18:51,9854770076,70.389,140004405,70002202,16,16g,16g
ScalaSparkTerasort,2023-04-05,06:20:17,3200000000,80.805,39601509,19800754,16,16g,16g
ScalaSparkKmeans,2023-04-05,06:21:36,4016371652,74.236,54102748,27051374,16,16g,16g
ScalaSparkPagerank,2023-04-05,06:23:13,259947887,91.651,2836279,1418139,16,16g,16g
ScalaSparkNWeight,2023-04-05,06:24:54,163190010,97.071,1681140,840570,16,16g,16g
ScalaSparkWordcount,2023-04-05,06:26:12,9854770076,73.091,134828776,67414388,16,16g,16g
ScalaSparkTerasort,2023-04-05,06:27:30,3200000000,72.454,44165953,22082976,16,16g,16g
ScalaSparkKmeans,2023-04-05,06:28:52,4016371652,78.187,51368790,25684395,16,16g,16g
ScalaSparkPagerank,2023-04-05,06:30:31,259947887,93.765,2772333,1386166,16,16g,16g
ScalaSparkNWeight,2023-04-05,06:32:14,163190010,98.531,1656230,828115,16,16g,16g
